Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
rmarkdown,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.20,,R (>= 3.0),"bslib (>= 0.2.5.1), evaluate (>= 0.13), htmltools (>= 0.5.1),
jquerylib, jsonlite, knitr (>= 1.22), methods, stringr (>=
1.2.0), tinytex (>= 0.31), tools, utils, xfun (>= 0.36), yaml
(>= 2.1.19)",,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, vctrs, withr (>= 2.4.2)",,GPL-3,,,,,no,4.2.2
rnaturalearth,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.3.2,,R (>= 3.1.1),"sp (>= 1.0.15), utils (>= 3.2.3), sf (>= 0.3-4), httr (>=
1.1.0), jsonlite",,"ggrepel, rgdal, knitr (>= 1.12.3), testthat (>= 0.9.1),
devtools (>= 1.10.0), rnaturalearthdata (>= 0.1.0),
rnaturalearthhires (>= 0.1.0), terra, rgeos, pbapply, ggplot2,
dplyr, purrr, rmarkdown, tmap, svglite",,MIT + file LICENSE,,,,,no,4.2.2
roxygen2,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,7.2.3,,R (>= 3.3),"brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), knitr,
methods, pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2),
rlang (>= 1.0.6), stringi, stringr (>= 1.0.0), utils, withr,
xml2",cpp11,"covr, R.methodsS3, R.oo, rmarkdown (>= 2.16), testthat (>=
3.1.2), yaml",,MIT + file LICENSE,,,,,yes,4.2.2
rprojroot,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.0.3,,R (>= 3.0.0),,,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",,MIT + file LICENSE,,,,,no,4.2.1
rstudioapi,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.14,,,,,"testthat, knitr, rmarkdown, clipr, covr",,MIT + file LICENSE,,,,,no,4.2.1
rversions,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.1.2,,,"curl, utils, xml2 (>= 1.0.0)",,"covr, mockery, testthat",,MIT + file LICENSE,,,,,no,4.2.1
rvertnet,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.8.2,,,"jsonlite (>= 1.5), crul (>= 0.5.2), dplyr (>= 0.5.0), tibble,
ggplot2, maps",,"testthat, vcr",,MIT + file LICENSE,,,,,no,4.2.1
s2,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.1.2,,R (>= 3.0.0),"Rcpp, wk (>= 0.6.0)","Rcpp, wk","testthat (>= 3.0.0), vctrs",,Apache License (== 2.0),,,,,yes,4.2.2
sass,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.4.5,,,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",,"testthat, knitr, rmarkdown, withr, shiny, curl",,MIT + file LICENSE,,,,,yes,4.2.2
satellite,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.4,,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), terra, tools, stats4",Rcpp,"devtools, knitr, rgdal, testthat, rmarkdown",,MIT + file LICENSE,,,,,yes,4.2.2
scales,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.1,,R (>= 3.2),"farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",,MIT + file LICENSE,,,,,no,4.2.1
servr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.25,,R (>= 3.0.0),"mime (>= 0.2), httpuv (>= 1.5.2), xfun, jsonlite",,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",,GPL,,,,,no,4.2.2
sessioninfo,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.2,,R (>= 2.10),"cli (>= 3.1.0), tools, utils",,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",,GPL-2,,,,,no,4.2.1
sf,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0-10,,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.1.0), stats, tools, units
(>= 0.7-0), utils",Rcpp,"blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, Matrix, microbenchmark, odbc, pbapply,
pillar, pool, raster, rlang, rmarkdown, RPostgres (>= 1.1.0),
RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>= 2.0-1),
spatstat.geom, spatstat.random, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat (>= 3.0.0),
tibble (>= 1.4.1), tidyr (>= 1.2.0), tidyselect (>= 1.0.0),
tmap (>= 2.0), vctrs, wk",,GPL-2 | MIT + file LICENSE,,,,,yes,4.2.2
sfheaders,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.4.2,,R (>= 3.0.2),Rcpp (>= 1.0.10),"geometries (>= 0.2.2), Rcpp","covr, knitr, testthat",,MIT + file LICENSE,,,,,yes,4.2.2
shape,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.4.6,,R (>= 2.01),"stats, graphics, grDevices",,,,GPL (>= 3),,,,,no,4.2.1
shiny,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.7.4,,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.3.0), cachem, ellipsis, lifecycle (>= 0.2.0)",,"datasets, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, yaml, future, dygraphs, ragg, showtext, sass",,GPL-3 | file LICENSE,,,,,no,4.2.2
shinyBS,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.61.1,,,"shiny (>= 0.11), htmltools",,,,GPL-3,,,,,no,4.2.2
shinydashboard,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.7.2,,R (>= 3.0),"utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",,,,GPL (>= 2) | file LICENSE,,,,,no,4.2.2
shinyjs,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.1.0,,R (>= 3.1.0),"digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)",,"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)",,MIT + file LICENSE,,,,,no,4.2.2
shinysky,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.1.3,,shiny,"RJSONIO, plyr",,,,MIT + file LICENSE,,,,,no,4.2.2
shinyWidgets,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.7.6,,R (>= 3.1.0),"anytime, bslib, sass, shiny (>= 1.6.0), htmltools (>= 0.5.1),
jsonlite, grDevices, rlang",,"shinydashboard, testthat, covr, shinydashboardPlus (>=
2.0.0), bs4Dash, argonR, argonDash, tablerDash, ggplot2, DT,
scales",,GPL-3,,,,,no,4.2.2
snow,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.4-4,,"R (>= 2.13.1), utils",,,rlecuyer,Rmpi,GPL,,,,,no,4.2.1
sourcetools,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.1.7-1,,R (>= 3.0.2),,,testthat,,MIT + file LICENSE,,,,,yes,4.2.2
sp,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.6-0,,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir, knitr, rmarkdown, sf",,GPL (>= 2),,,,,yes,4.2.2
spam,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.9-1,,R (>= 3.5),"dotCall64, grid, methods",,"spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",,LGPL-2 | BSD_3_clause + file LICENSE,,,,,yes,4.2.1
SparseM,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.81,,"R (>= 2.15), methods","graphics, stats, utils",,,,GPL (>= 2),,,,,yes,4.2.1
spatstat,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.0-3,,"R (>= 3.5.0), spatstat.data (>= 3.0-0), spatstat.geom (>=
3.0-5), spatstat.random (>= 3.1-3), spatstat.explore (>=
3.0-6), spatstat.model (>= 3.1-2), spatstat.linnet (>= 3.0-4),
utils",spatstat.utils (>= 3.0-1),,,,GPL (>= 2),,,,,yes,4.2.2
spatstat.data,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.0-0,,R (>= 3.5.0),"spatstat.utils (>= 3.0-0), Matrix",,"spatstat.geom, spatstat.random, spatstat.explore,
spatstat.model, spatstat.linnet",,GPL (>= 2),,,,,no,4.2.2
spatstat.explore,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.0-6,,"R (>= 3.5.0), spatstat.data (>= 3.0), spatstat.geom (>=
3.0-5), spatstat.random (>= 3.1), stats, graphics, grDevices,
utils, methods, nlme","spatstat.utils (>= 3.0), spatstat.sparse (>= 3.0), goftest (>=
1.2-2), Matrix, abind",,"sm, maptools (>= 0.9-9), gsl, locfit, spatial, fftwtools (>=
0.9-8), spatstat.linnet (>= 3.0), spatstat.model (>= 3.0),
spatstat (>= 3.0)",,GPL (>= 2),,,,,yes,4.2.2
spatstat.geom,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.0-6,,"R (>= 3.5.0), spatstat.data (>= 3.0), stats, graphics,
grDevices, utils, methods","spatstat.utils (>= 3.0), deldir (>= 1.0-2), polyclip (>=
1.10-0)",,"spatstat.random, spatstat.explore, spatstat.model,
spatstat.linnet, maptools (>= 0.9-9), spatial, fftwtools (>=
0.9-8), spatstat (>= 2.0-0)",,GPL (>= 2),,,,,yes,4.2.2
spatstat.linnet,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.0-6,,"R (>= 3.5.0), spatstat.data (>= 3.0), spatstat.geom (>=
3.0-6), spatstat.random (>= 3.1-3), spatstat.explore (>=
3.0-6), spatstat.model (>= 3.2-1), stats, graphics, grDevices,
methods, utils","spatstat.utils (>= 3.0), Matrix, spatstat.sparse (>= 3.0)",,"goftest, locfit, spatstat (>= 3.0)",,GPL (>= 2),,,,,yes,4.2.2
spatstat.model,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.2-1,,"R (>= 3.5.0), spatstat.data (>= 3.0), spatstat.geom (>=
3.0-5), spatstat.random (>= 3.1-3), spatstat.explore (>= 3.0),
stats, graphics, grDevices, utils, methods, nlme, rpart","spatstat.utils (>= 3.0), spatstat.sparse (>= 3.0), mgcv,
Matrix, abind, tensor, goftest (>= 1.2-2)",,"sm, maptools (>= 0.9-9), gsl, locfit, spatial, RandomFields
(>= 3.1.24.1), RandomFieldsUtils(>= 0.3.3.1), fftwtools (>=
0.9-8), nleqslv, glmnet, spatstat.linnet (>= 3.0), spatstat (>=
3.0)",,GPL (>= 2),,,,,yes,4.2.2
spatstat.random,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.1-3,,"R (>= 3.5.0), spatstat.data (>= 3.0), spatstat.geom (>=
3.0-5), stats, utils, methods, grDevices",spatstat.utils (>= 3.0),,"spatial, RandomFields (>= 3.1.24.1), RandomFieldsUtils (>=
0.3.3.1), spatstat.linnet (>= 3.0), spatstat.explore,
spatstat.model, spatstat (>= 3.0)",,GPL (>= 2),,,,,yes,4.2.2
spatstat.sparse,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.0-0,,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor",spatstat.utils (>= 3.0-0),,,,GPL (>= 2),,,,,yes,4.2.2
spatstat.utils,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.0-1,,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",,,spatstat.model,,GPL (>= 2),,,,,yes,4.2.1
splancs,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.01-43,,"R (>= 2.10.0), sp (>= 0.9)","stats, graphics, grDevices, methods",,,,GPL (>= 2),,,,,yes,4.2.2
spocc,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.0,,,"utils, rgbif, rbison, rebird, rvertnet, ridigbio, lubridate,
crul, whisker, jsonlite, data.table, tibble, wellknown",,"testthat, taxize, vcr",,MIT + file LICENSE,,,,,no,4.2.1
spThin,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.2.0,,"spam, grid, fields, knitr","grDevices, graphics, utils",,,,GPL-3,,,,,no,4.2.1
SQUAREM,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2021.1,,R (>= 3.0),,,setRNG,,GPL (>= 2),,,,,no,4.2.1
stars,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.6-1,,"R (>= 3.3.0), abind, sf (>= 1.0-9)","methods, parallel, classInt (>= 0.4-1), lwgeom, rlang, units",,"Cairo, OpenStreetMap, PCICt, RNetCDF (>= 1.8-2), clue, covr,
cubelyr, digest, dplyr (>= 0.7-0), exactextractr, FNN,
future.apply, ggforce, ggplot2, ggthemes, gstat, httr,
jsonlite, knitr, maps, mapdata, ncdfgeom, ncmeta (>= 0.0.3),
pbapply, plm, randomForest, raster, rgdal, rmarkdown, sp,
spacetime, spatstat (>= 2.0-1), spatstat.geom, starsdata, terra
(>= 1.4-22), testthat, tidyr, viridis, xts, zoo",,Apache License,,,,,no,4.2.2
stringi,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.7.12,,R (>= 3.1),"tools, utils, stats",,,,file LICENSE,yes,,,,yes,4.2.2
stringr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.5.0,,R (>= 3.3),"cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs",,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat (>=
3.0.0)",,MIT + file LICENSE,,,,,no,4.2.2
svglite,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.1.1,,R (>= 3.0.0),systemfonts (>= 1.0.0),"cpp11, systemfonts","covr, fontquiver (>= 0.2.0), htmltools, knitr, rmarkdown,
testthat, xml2 (>= 1.0.0)",,GPL (>= 2),,,,,yes,4.2.2
sys,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.4.1,,,,,"unix (>= 1.4), spelling, testthat",,MIT + file LICENSE,,,,,yes,4.2.1
systemfonts,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.4,,R (>= 3.2.0),,cpp11 (>= 0.2.1),"testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",,MIT + file LICENSE,,,,,yes,4.2.1
TeachingDemos,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.12,,R (>= 2.10),,,"tkrplot, lattice, MASS, rgl, tcltk, tcltk2, png, ggplot2,
logspline, maptools, R2wd, manipulate",,Artistic-2.0,,,,,no,4.2.1
tensor,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.5,,,,,,,GPL (>= 2),,,,,,4.2.1
terra,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.7-18,,R (>= 3.5.0),"methods, Rcpp (>= 1.0-10)",Rcpp,"parallel, tinytest, ncdf4, sf (>= 0.9-8), deldir, XML,
leaflet",,GPL (>= 3),,,,,yes,4.2.2
testthat,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.1.6,,R (>= 3.1),"brio, callr (>= 3.5.1), cli (>= 3.4.0), desc, digest, ellipsis
(>= 0.2.0), evaluate, jsonlite, lifecycle, magrittr, methods,
pkgload, praise, processx, ps (>= 1.3.4), R6 (>= 2.2.0), rlang
(>= 1.0.1), utils, waldo (>= 0.4.0), withr (>= 2.4.3)",,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr, mockery,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",,MIT + file LICENSE,,,,,yes,4.2.2
textshaping,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.3.6,,R (>= 3.2.0),systemfonts (>= 1.0.0),"cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, knitr, rmarkdown",,MIT + file LICENSE,,,,,yes,4.2.1
tibble,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.1.8,,R (>= 3.1.0),"fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.7.0), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.3.8)",,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2, hms,
htmltools, knitr, lubridate, mockr, nycflights13, pkgbuild,
pkgload, purrr, rmarkdown, stringi, testthat (>= 3.0.2), tidyr,
withr",,MIT + file LICENSE,,,,,yes,4.2.1
tidyr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.3.0,,R (>= 3.4.0),"cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.0.4), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)",cpp11 (>= 0.4.0),"covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)",,MIT + file LICENSE,,,,,yes,4.2.2
tidyselect,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.0,,R (>= 3.4),"cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.4.1), withr",,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",,MIT + file LICENSE,,,,,no,4.2.1
timeDate,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,4022.108,,R (>= 3.6.0),"graphics, utils, stats, methods",,RUnit,,GPL (>= 2),,,,,no,4.2.2
tinytex,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.44,,,xfun (>= 0.29),,"testit, rstudioapi",,MIT + file LICENSE,,,,,no,4.2.2
triebeard,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.4.1,,,Rcpp,Rcpp,"knitr, rmarkdown, testthat",,MIT + file LICENSE,,,,,yes,4.2.2
urlchecker,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.1,,R (>= 3.3),"cli, curl, tools, xml2",,covr,,GPL-3,,,,,no,4.2.1
urltools,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.7.3,,R (>= 2.10),"Rcpp, methods, triebeard",Rcpp,"testthat, knitr",,MIT + file LICENSE,,,,,yes,4.2.1
usdm,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.1-18,,"methods, sp, raster",,,rgdal (>= 0.6-28),,GPL (>= 3),,,,,no,4.2.2
usethis,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.1.6,,R (>= 3.4),"cli (>= 3.0.1), clipr (>= 0.3.0), crayon, curl (>= 2.7), desc
(>= 1.4.0), fs (>= 1.3.0), gert (>= 1.4.1), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 1.0.0), rprojroot (>= 1.2), rstudioapi, stats, utils,
whisker, withr (>= 2.3.0), yaml",,"covr, knitr, magick, mockr, pkgload, rmarkdown, roxygen2 (>=
7.1.2), spelling (>= 1.2), styler (>= 1.2.0), testthat (>=
3.1.0)",,MIT + file LICENSE,,,,,no,4.2.1
utf8,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.3,,R (>= 2.10),,,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",,Apache License (== 2.0) | file LICENSE,,,,,yes,4.2.2
uuid,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.1-0,,R (>= 2.9.0),,,,,MIT + file LICENSE,,,,,yes,4.2.1
vctrs,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.5.2,,R (>= 3.3),"cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.0.6)",,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), withr, xml2, waldo (>= 0.2.0),
zeallot",,MIT + file LICENSE,,,,,yes,4.2.2
viridis,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.6.2,,"R (>= 2.10), viridisLite (>= 0.4.0)","stats, ggplot2 (>= 1.0.1), gridExtra",,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, raster, rasterVis, httr, mapproj, vdiffr, svglite
(>= 1.2.0), testthat, covr, rmarkdown, rgdal, maps",,MIT + file LICENSE,,,,,no,4.2.1
viridisLite,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.4.1,,R (>= 2.10),,,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",,MIT + file LICENSE,,,,,no,4.2.1
waldo,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.4.0,,,"cli, diffobj (>= 0.3.4), fansi, glue, methods, rematch2, rlang
(>= 1.0.0), tibble",,"covr, R6, testthat (>= 3.0.0), withr, xml2",,MIT + file LICENSE,,,,,no,4.2.1
webshot,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.5.4,,R (>= 3.0),"magrittr, jsonlite, callr",,"httpuv, knitr, rmarkdown, shiny, testthat (>= 3.0.0)",,GPL-2,,,,,no,4.2.2
wellknown,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.7.4,,,"jsonlite, wk, Rcpp","Rcpp, BH","leaflet (>= 1.0.0), testthat",,MIT + file LICENSE,,,,,yes,4.2.1
whisker,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.4.1,,,,,markdown,,GPL-3,,,,,no,4.2.2
withr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.5.0,,R (>= 3.2.0),"graphics, grDevices, stats",,"callr, covr, DBI, knitr, lattice, methods, rlang, rmarkdown
(>= 2.12), RSQLite, testthat (>= 3.0.0)",,MIT + file LICENSE,,,,,no,4.2.1
wk,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.7.1,,R (>= 2.10),,,"testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble, readr",,MIT + file LICENSE,,,,,yes,4.2.2
xfun,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.37,,,"stats, tools",,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown (>= 1.5), knitr (>= 1.42), htmltools, remotes,
pak, rhub, renv, curl, jsonlite, magick, rmarkdown",,MIT + file LICENSE,,,,,yes,4.2.2
xml2,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.3.3,,R (>= 3.1.0),methods,,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 2.1.0)",,MIT + file LICENSE,,,,,yes,4.2.1
xopen,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.0,,R (>= 3.1),processx,,"ps, testthat",,MIT + file LICENSE,,,,,no,4.2.1
xtable,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.8-4,,R (>= 2.10.0),"stats, utils",,"knitr, plm, zoo, survival",,GPL (>= 2),,,,,no,4.2.1
yaml,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.3.7,,,,,RUnit,,BSD_3_clause + file LICENSE,,,,,yes,4.2.2
zip,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.2.2,,,,,"covr, processx, R6, testthat, withr",,MIT + file LICENSE,,,,,yes,4.2.2
zoo,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.8-11,,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",,"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",,GPL-2 | GPL-3,,,,,yes,4.2.1
abind,/usr/local/lib/R/site-library,1.4-5,,R (>= 1.5.0),"methods, utils",,,,LGPL (>= 2),,,,,no,4.2.1
ade4,/usr/local/lib/R/site-library,1.7-20,,R (>= 2.10),"graphics, grDevices, methods, stats, utils, MASS, pixmap, sp",,"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim, progress, foreach, parallel,
doParallel, iterators",,GPL (>= 2),,,,,yes,4.2.2
anytime,/usr/local/lib/R/site-library,0.3.9,,R (>= 3.2.0),Rcpp (>= 0.12.9),"Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",,GPL (>= 2),,,,,yes,4.2.2
askpass,/usr/local/lib/R/site-library,1.1,,,sys (>= 2.1),,testthat,,MIT + file LICENSE,,,,,yes,4.2.1
assertthat,/usr/local/lib/R/site-library,0.2.1,,,tools,,"testthat, covr",,GPL-3,,,,,no,4.2.1
backports,/usr/local/lib/R/site-library,1.4.1,,R (>= 3.0.0),,,,,GPL-2 | GPL-3,,,,,yes,4.2.1
base64enc,/usr/local/lib/R/site-library,0.1-3,,R (>= 2.9.0),,,,png,GPL-2 | GPL-3,,,,,yes,4.2.1
bestglm,/usr/local/lib/R/site-library,0.37.3,,"R (>= 3.1.0), leaps","lattice, glmnet, grpreg, pls",,MASS,caret,GPL (>= 2),,,,,yes,4.2.2
BH,/usr/local/lib/R/site-library,1.81.0-1,,,,,,,BSL-1.0,,,,,no,4.2.2
BiocManager,/usr/local/lib/R/site-library,1.30.20,,,utils,,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",,Artistic-2.0,,,,,no,4.2.2
biomod2,/usr/local/lib/R/site-library,4.2-2,,R (>= 4.1),"stats, utils, methods, terra (>= 1.6-33), sp, reshape,
reshape2, abind, data.table, foreach, ggplot2, nnet, gbm (>=
2.1.3), mda, randomForest, maxnet, rpart, MASS, pROC (>=
1.15.0), PresenceAbsence, earth, dplyr",,"Hmisc, gam, mgcv, car, caret, dismo, ENMeval, doParallel,
raster, ggpubr, testthat, knitr, markdown, tidyterra, ggtext",,GPL-3,,,,,no,4.2.2
brew,/usr/local/lib/R/site-library,1.0-8,,,,,testthat (>= 3.0.0),,GPL-2,,,,,no,4.2.1
brio,/usr/local/lib/R/site-library,1.1.3,,,,,"covr, testthat (>= 2.1.0)",,MIT + file LICENSE,,,,,yes,4.2.1
